CIK,Company,Type,Date,complete_text_file_link,html_index,Filing Date,Period of Report,SIC,htm_file_link,State of Inc,State location,Fiscal Year End,filename
1652044,Alphabet Inc.,8-K,2025-07-23,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-25-000056.txt,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-25-000056-index.html,2025-07-23,2025-07-23,7370,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000056/goog-20250723.htm,DE,CA,1231,1652044_8K_2025_0001652044-25-000056.htm
1652044,Alphabet Inc.,8-K,2025-09-03,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-25-000067.txt,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-25-000067-index.html,2025-09-03,2025-09-02,7370,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000067/goog-20250902.htm,DE,CA,1231,1652044_8K_2025_0001652044-25-000067.htm
1652044,Alphabet Inc.,8-K,2025-09-05,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-25-000074.txt,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-25-000074-index.html,2025-09-05,2025-09-05,7370,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000074/goog-20250905.htm,DE,CA,1231,1652044_8K_2025_0001652044-25-000074.htm
320193,Apple Inc.,10-Q,2025-08-01,https://www.sec.gov/Archives/edgar/data/320193/0000320193-25-000073.txt,https://www.sec.gov/Archives/edgar/data/320193/0000320193-25-000073-index.html,2025-08-01,2025-06-28,3571,https://www.sec.gov/Archives/edgar/data/320193/000032019325000073/aapl-20250628.htm,CA,CA,0927,320193_10Q_2025_0000320193-25-000073.htm
320193,Apple Inc.,8-K,2025-07-09,https://www.sec.gov/Archives/edgar/data/320193/0001140361-25-025275.txt,https://www.sec.gov/Archives/edgar/data/320193/0001140361-25-025275-index.html,2025-07-09,2025-07-08,3571,https://www.sec.gov/Archives/edgar/data/320193/000114036125025275/ef20051741_8k.htm,CA,CA,0927,320193_8K_2025_0001140361-25-025275.htm
320193,Apple Inc.,8-K,2025-07-25,https://www.sec.gov/Archives/edgar/data/320193/0001140361-25-027340.txt,https://www.sec.gov/Archives/edgar/data/320193/0001140361-25-027340-index.html,2025-07-25,2025-07-21,3571,https://www.sec.gov/Archives/edgar/data/320193/000114036125027340/ef20052355_8k.htm,CA,CA,0927,320193_8K_2025_0001140361-25-027340.htm
320193,Apple Inc.,8-K,2025-07-31,https://www.sec.gov/Archives/edgar/data/320193/0000320193-25-000071.txt,https://www.sec.gov/Archives/edgar/data/320193/0000320193-25-000071-index.html,2025-07-31,2025-07-31,3571,https://www.sec.gov/Archives/edgar/data/320193/000032019325000071/aapl-20250731.htm,CA,CA,0927,320193_8K_2025_0000320193-25-000071.htm
789019,MICROSOFT CORP,10-K,2025-07-30,https://www.sec.gov/Archives/edgar/data/789019/0000950170-25-100235.txt,https://www.sec.gov/Archives/edgar/data/789019/0000950170-25-100235-index.html,2025-07-30,2025-06-30,7372,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm,WA,WA,0630,789019_10K_2025_0000950170-25-100235.htm
789019,MICROSOFT CORP,8-K,2025-07-01,https://www.sec.gov/Archives/edgar/data/789019/0001193125-25-154103.txt,https://www.sec.gov/Archives/edgar/data/789019/0001193125-25-154103-index.html,2025-07-01,2025-07-01,7372,https://www.sec.gov/Archives/edgar/data/789019/000119312525154103/d84624d8k.htm,WA,WA,0630,789019_8K_2025_0001193125-25-154103.htm
789019,MICROSOFT CORP,8-K,2025-07-30,https://www.sec.gov/Archives/edgar/data/789019/0000950170-25-100226.txt,https://www.sec.gov/Archives/edgar/data/789019/0000950170-25-100226-index.html,2025-07-30,2025-07-30,7372,https://www.sec.gov/Archives/edgar/data/789019/000095017025100226/msft-20250730.htm,WA,WA,0630,789019_8K_2025_0000950170-25-100226.htm
789019,MICROSOFT CORP,8-K,2025-09-30,https://www.sec.gov/Archives/edgar/data/789019/0001193125-25-225125.txt,https://www.sec.gov/Archives/edgar/data/789019/0001193125-25-225125-index.html,2025-09-30,2025-09-24,7372,https://www.sec.gov/Archives/edgar/data/789019/000119312525225125/d863209d8k.htm,WA,WA,0630,789019_8K_2025_0001193125-25-225125.htm
1018724,AMAZON COM INC,10-Q,2025-10-31,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-25-000123.txt,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-25-000123-index.html,2025-10-31,2025-09-30,5961,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000123/amzn-20250930.htm,DE,WA,1231,1018724_10Q_2025_0001018724-25-000123.htm
1018724,AMAZON COM INC,8-K,2025-10-30,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-25-000121.txt,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-25-000121-index.html,2025-10-30,2025-10-30,5961,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000121/amzn-20251030.htm,DE,WA,1231,1018724_8K_2025_0001018724-25-000121.htm
1045810,NVIDIA CORP,10-Q,2025-11-19,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-25-000230.txt,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-25-000230-index.html,2025-11-19,2025-10-26,3674,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000230/nvda-20251026.htm,DE,CA,0125,1045810_10Q_2025_0001045810-25-000230.htm
1045810,NVIDIA CORP,8-K,2025-11-19,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-25-000228.txt,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-25-000228-index.html,2025-11-19,2025-11-19,3674,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000228/nvda-20251119.htm,DE,CA,0125,1045810_8K_2025_0001045810-25-000228.htm
1318605,"Tesla, Inc.",10-Q,2025-10-23,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-25-045968.txt,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-25-045968-index.html,2025-10-23,2025-09-30,3711,https://www.sec.gov/Archives/edgar/data/1318605/000162828025045968/tsla-20250930.htm,TX,TX,1231,1318605_10Q_2025_0001628280-25-045968.htm
1318605,"Tesla, Inc.",8-K,2025-10-02,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-25-043530.txt,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-25-043530-index.html,2025-10-02,2025-10-02,3711,https://www.sec.gov/Archives/edgar/data/1318605/000162828025043530/tsla-20251002.htm,TX,TX,1231,1318605_8K_2025_0001628280-25-043530.htm
1318605,"Tesla, Inc.",8-K,2025-10-22,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-25-045861.txt,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-25-045861-index.html,2025-10-22,2025-10-22,3711,https://www.sec.gov/Archives/edgar/data/1318605/000162828025045861/tsla-20251022.htm,TX,TX,1231,1318605_8K_2025_0001628280-25-045861.htm
1318605,"Tesla, Inc.",8-K,2025-11-07,https://www.sec.gov/Archives/edgar/data/1318605/0001104659-25-108507.txt,https://www.sec.gov/Archives/edgar/data/1318605/0001104659-25-108507-index.html,2025-11-07,2025-11-06,3711,https://www.sec.gov/Archives/edgar/data/1318605/000110465925108507/tm2530590d1_8k.htm,TX,TX,1231,1318605_8K_2025_0001104659-25-108507.htm
1652044,Alphabet Inc.,10-Q,2025-10-30,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-25-000091.txt,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-25-000091-index.html,2025-10-30,2025-09-30,7370,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000091/goog-20250930.htm,DE,CA,1231,1652044_10Q_2025_0001652044-25-000091.htm
1652044,Alphabet Inc.,8-K,2025-10-29,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-25-000087.txt,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-25-000087-index.html,2025-10-29,2025-10-29,7370,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000087/goog-20251029.htm,DE,CA,1231,1652044_8K_2025_0001652044-25-000087.htm
1652044,Alphabet Inc.,8-K,2025-11-06,https://www.sec.gov/Archives/edgar/data/1652044/0001193125-25-269979.txt,https://www.sec.gov/Archives/edgar/data/1652044/0001193125-25-269979-index.html,2025-11-06,2025-11-06,7370,https://www.sec.gov/Archives/edgar/data/1652044/000119312525269979/d56115d8k.htm,DE,CA,1231,1652044_8K_2025_0001193125-25-269979.htm
320193,Apple Inc.,10-K,2025-10-31,https://www.sec.gov/Archives/edgar/data/320193/0000320193-25-000079.txt,https://www.sec.gov/Archives/edgar/data/320193/0000320193-25-000079-index.html,2025-10-31,2025-09-27,3571,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm,CA,CA,0927,320193_10K_2025_0000320193-25-000079.htm
320193,Apple Inc.,8-K,2025-10-30,https://www.sec.gov/Archives/edgar/data/320193/0000320193-25-000077.txt,https://www.sec.gov/Archives/edgar/data/320193/0000320193-25-000077-index.html,2025-10-30,2025-10-30,3571,https://www.sec.gov/Archives/edgar/data/320193/000032019325000077/aapl-20251030.htm,CA,CA,0927,320193_8K_2025_0000320193-25-000077.htm
789019,MICROSOFT CORP,10-Q,2025-10-29,https://www.sec.gov/Archives/edgar/data/789019/0001193125-25-256321.txt,https://www.sec.gov/Archives/edgar/data/789019/0001193125-25-256321-index.html,2025-10-29,2025-09-30,7372,https://www.sec.gov/Archives/edgar/data/789019/000119312525256321/msft-20250930.htm,WA,WA,0630,789019_10Q_2025_0001193125-25-256321.htm
789019,MICROSOFT CORP,8-K,2025-10-29,https://www.sec.gov/Archives/edgar/data/789019/0001193125-25-256310.txt,https://www.sec.gov/Archives/edgar/data/789019/0001193125-25-256310-index.html,2025-10-29,2025-10-28,7372,https://www.sec.gov/Archives/edgar/data/789019/000119312525256310/msft-20251028.htm,WA,WA,0630,789019_8K_2025_0001193125-25-256310.htm
